"Identification code",Name,"Members FTE","Lobbying cost","Interest represented","Head office","EU office","EP passes on 2026-05-25","all EP passes",Meetings,"Lobbyfacts URL"
183089341543-86,"European Institute of Peace",2.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,2,34,https://www.lobbyfacts.eu/datacard/european-institute-of-peace?rid=183089341543-86
183111391722-94,"OUT OF THE BOX INTERNATIONAL",5.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,2,,https://www.lobbyfacts.eu/datacard/out-of-the-box-international?rid=183111391722-94
183123451856-29,"Cool Heating Coalition",3.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,3,8,2,https://www.lobbyfacts.eu/datacard/cool-heating-coalition?rid=183123451856-29
18343956476-47,"EuroMed Rights / EuroMed Droits",3.5,0,"Does not represent commercial interests",DENMARK,BELGIUM,4,99,19,https://www.lobbyfacts.eu/datacard/euromed-rights---euromed-droits?rid=18343956476-47
1837826104183-81,"The Wireless Microphone SpectrumAlliance Europe",0.3,0,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/the-wireless-microphone-spectrumalliance-europe?rid=1837826104183-81
184027545471-80,"CONNECT International",5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,7,,https://www.lobbyfacts.eu/datacard/connect-international?rid=184027545471-80
184123614290-39,"JEDEN Z NAS",2,0,"Does not represent commercial interests",POLAND,POLAND,,5,,https://www.lobbyfacts.eu/datacard/jeden-z-nas?rid=184123614290-39
184737599004-15,"Georgia's Future Academy",1.25,0,"Does not represent commercial interests",GEORGIA,GEORGIA,,,,https://www.lobbyfacts.eu/datacard/georgias-future-academy?rid=184737599004-15
185596743056-12,"Conférence des Services de traduction des États européens/Konferenz der Übersetzungsdienste europäischer Staaten/Conference of Translation Services of European States",2,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/conférence-des-services-de-traduction-des-états-européens-konferenz-der-übersetzungsdienste-europäischer-staaten-conference-of-translation-services-of-european-states?rid=185596743056-12
185654451765-89,"STIFTELSEN LIV- OCH FRED-INSTITUTET",0.1,0,"Does not represent commercial interests",SWEDEN,SWEDEN,,,,https://www.lobbyfacts.eu/datacard/stiftelsen-liv--och-fred-institutet?rid=185654451765-89
185777435695-52,"Eurepean Patient Empowerment for Customised Solutions",0.25,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/eurepean-patient-empowerment-for-customised-solutions?rid=185777435695-52
185981542836-34,"One Family Foundation",1.5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,2,https://www.lobbyfacts.eu/datacard/one-family-foundation?rid=185981542836-34
186128546972-40,"Albert-Ludwigs-Universität Freiburg",0.25,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/albert-ludwigs-universität-freiburg?rid=186128546972-40
186744251669-95,"Stichting Just Finance International",4.25,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stichting-just-finance-international?rid=186744251669-95
186750591533-88,"International Independent Film Festival of Athens",2.5,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/international-independent-film-festival-of-athens?rid=186750591533-88
1868565102181-38,SKD,0.75,0,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/skd?rid=1868565102181-38
1870050101828-11,"Collectif pour l'Alignement des Normes et des Objectifs Écologiques",0.1,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/collectif-pour-lalignement-des-normes-et-des-objectifs-écologiques?rid=1870050101828-11
1870065100257-16,"International Project Management Association",1.7,0,"Does not represent commercial interests",SWITZERLAND,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/international-project-management-association?rid=1870065100257-16
187303350313-47,"Conseil international des monuments et des sites / International Council on Monuments and Sites",0.1,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/conseil-international-des-monuments-et-des-sites---international-council-on-monuments-and-sites?rid=187303350313-47
187726193787-89,"Healthcare Chain Institute",0.3,0,"Promotes their own interests or the collective interests of their members",BELGIUM,BELGIUM,2,3,,https://www.lobbyfacts.eu/datacard/healthcare-chain-institute?rid=187726193787-89
1877424100879-66,"Dezvoltare prin Implicare",3.25,0,"Does not represent commercial interests","MOLDOVA, REPUBLIC OF","MOLDOVA, REPUBLIC OF",,,,https://www.lobbyfacts.eu/datacard/dezvoltare-prin-implicare?rid=1877424100879-66
1878477102121-40,"Prague University of Economics and Business",2.35,0,"Does not represent commercial interests","CZECH REPUBLIC","CZECH REPUBLIC",,,,https://www.lobbyfacts.eu/datacard/prague-university-of-economics-and-business?rid=1878477102121-40
187896393601-75,ROLRAIL,0.25,0,"Advances interests of their clients",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/rolrail?rid=187896393601-75
187958296370-08,"Equal Rights Beyond Borders AMKE",0.75,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/equal-rights-beyond-borders-amke?rid=187958296370-08
188449993594-21,"Pro Vita e Famiglia",1.75,0,"Does not represent commercial interests",ITALY,ITALY,,3,1,https://www.lobbyfacts.eu/datacard/pro-vita-e-famiglia?rid=188449993594-21
1888625101393-41,"ESH GmbH",2,0,"Promotes their own interests or the collective interests of their members",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/esh-gmbh?rid=1888625101393-41
188918620990-58,"Sant'Egidio BXL Europe",1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,10,6,https://www.lobbyfacts.eu/datacard/santegidio-bxl-europe?rid=188918620990-58
188950615786-50,"FORWARD THINKING",6.25,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,1,https://www.lobbyfacts.eu/datacard/forward-thinking?rid=188950615786-50
188958695985-34,"Agence intercommunale de développement des arrondissements de Tournai, Ath et de communes avoisinantes",0.2,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/agence-intercommunale-de-développement-des-arrondissements-de-tournai-ath-et-de-communes-avoisinantes?rid=188958695985-34
1891757100397-59,ARTCENA,1,0,"Does not represent commercial interests",FRANCE,FRANCE,1,1,,https://www.lobbyfacts.eu/datacard/artcena?rid=1891757100397-59
18939412904-80,"ΚΕ.Π.ΚΑ. - ΚΕΝΤΡΟ ΠΡΟΣΤΑΣΙΑΣ ΚΑΤΑΝΑΛΩΤΩΝ",3.55,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/κεπκα---κεντρο-προστασιας-καταναλωτων?rid=18939412904-80
18941013532-08,"European Public Health Alliance",4.1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,3,135,46,https://www.lobbyfacts.eu/datacard/european-public-health-alliance?rid=18941013532-08
189452350536-09,"Foxglove Legal CIC",0.3,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/foxglove-legal-cic?rid=189452350536-09
189508645895-47,"Associação CCG/zgdv - Centro de Computação Gráfica",0.5,0,"Does not represent commercial interests",PORTUGAL,PORTUGAL,,,,https://www.lobbyfacts.eu/datacard/associação-ccg-zgdv---centro-de-computação-gráfica?rid=189508645895-47
189583796325-82,"European Network of Network Operators for Hydrogen (ENNOH)",8,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,4,https://www.lobbyfacts.eu/datacard/european-network-of-network-operators-for-hydrogen-ennoh?rid=189583796325-82
189720828138-88,"ReAct - Action on Antibiotic Resistance",0.1,0,"Does not represent commercial interests",SWEDEN,SWEDEN,,,5,https://www.lobbyfacts.eu/datacard/react---action-on-antibiotic-resistance?rid=189720828138-88
189729751531-96,"World Hepatitis Alliance",0.3,0,"Does not represent commercial interests",SWITZERLAND,"UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/world-hepatitis-alliance?rid=189729751531-96
1899079102966-67,"Stifterverband für die Deutsche Wissenschaft",0.6,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/stifterverband-für-die-deutsche-wissenschaft?rid=1899079102966-67
189986994404-27,#SustainableFoundations,0.1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/sustainablefoundations?rid=189986994404-27
1904808102519-52,"SORBONNE UNIVERSITE",0.4,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/sorbonne-universite?rid=1904808102519-52
190957995725-52,"Onborders APS",1.1,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/onborders-aps?rid=190957995725-52
191171993861-64,"LEGA ITALIANA PER LA LOTTA CONTRO L'AIDS",2,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/lega-italiana-per-la-lotta-contro-laids?rid=191171993861-64
191538712765-84,"Wikimedia Europe",2.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,3,19,7,https://www.lobbyfacts.eu/datacard/wikimedia-europe?rid=191538712765-84
191616792043-96,"Hostage Aid Worldwide Inc.",6,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,,https://www.lobbyfacts.eu/datacard/hostage-aid-worldwide-inc?rid=191616792043-96
191668798189-39,"Fundación Esquel",0.2,0,"Does not represent commercial interests",ECUADOR,ECUADOR,,,,https://www.lobbyfacts.eu/datacard/fundación-esquel?rid=191668798189-39
192393934698-62,"Friends of the Earth Malta",11.25,0,"Does not represent commercial interests",MALTA,MALTA,,,,https://www.lobbyfacts.eu/datacard/friends-of-the-earth-malta?rid=192393934698-62
1926021102321-50,"EU-Cuba Network for Democracy",0.95,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,2,,https://www.lobbyfacts.eu/datacard/eu-cuba-network-for-democracy?rid=1926021102321-50
192678699306-58,"Vereniging Vrouwen met Academische Opleiding",0.5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/vereniging-vrouwen-met-academische-opleiding?rid=192678699306-58
192912052010-36,"European Partnership for Responsible Minerals",5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/european-partnership-for-responsible-minerals?rid=192912052010-36
192915931694-44,"Narodne centrum zdravotnickych informacii",8.95,0,"Does not represent commercial interests",SLOVAKIA,SLOVAKIA,,,,https://www.lobbyfacts.eu/datacard/narodne-centrum-zdravotnickych-informacii?rid=192915931694-44
193442792683-80,"University of Limerick",2.35,0,"Does not represent commercial interests",IRELAND,IRELAND,,,,https://www.lobbyfacts.eu/datacard/university-of-limerick?rid=193442792683-80
193588825276-25,"KWF Kankerbestrijding",1.75,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,1,1,https://www.lobbyfacts.eu/datacard/kwf-kankerbestrijding?rid=193588825276-25
193677795912-07,"Federazione Logopedisti Italiani",0.5,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/federazione-logopedisti-italiani?rid=193677795912-07
194048338487-53,"Luxembourg Institute of Socio-Economic Research (LISER)",1.5,0,"Does not represent commercial interests",LUXEMBOURG,LUXEMBOURG,,,1,https://www.lobbyfacts.eu/datacard/luxembourg-institute-of-socio-economic-research-liser?rid=194048338487-53
194099693815-27,"Federation for Innovation in Democracy Europe",0.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,1,,https://www.lobbyfacts.eu/datacard/federation-for-innovation-in-democracy-europe?rid=194099693815-27
194116394962-82,"Sanatana Dharma Europe",1,0,"Does not represent commercial interests",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/sanatana-dharma-europe?rid=194116394962-82
194221424767-06,"Stichting Advisory Council for pelagic stocks",2,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,5,https://www.lobbyfacts.eu/datacard/stichting-advisory-council-for-pelagic-stocks?rid=194221424767-06
19432535159-54,"Vereinigung der österreichischen Richterinnen und Richter",1.25,0,"Does not represent commercial interests",AUSTRIA,AUSTRIA,,,,https://www.lobbyfacts.eu/datacard/vereinigung-der-österreichischen-richterinnen-und-richter?rid=19432535159-54
194460120111-14,"Federazione per la Tutela delle Industrie dei Contenuti Audiovisivi e Multimediali",1,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/federazione-per-la-tutela-delle-industrie-dei-contenuti-audiovisivi-e-multimediali?rid=194460120111-14
194469245747-11,"Asociación de Usuarios de la Comunicación",1.6,0,"Does not represent commercial interests",SPAIN,SPAIN,,,1,https://www.lobbyfacts.eu/datacard/asociación-de-usuarios-de-la-comunicación?rid=194469245747-11
194518991651-02,"European Biosafety Association",0.7,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/european-biosafety-association?rid=194518991651-02
194522840515-69,"The National Center for Missing and Exploited Children",0.75,0,"Does not represent commercial interests","UNITED STATES","UNITED STATES",,,1,https://www.lobbyfacts.eu/datacard/the-national-center-for-missing-and-exploited-children?rid=194522840515-69
194885445254-71,"Weizenbaum-Institut e.V.",2.75,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/weizenbaum-institut-ev?rid=194885445254-71
1950274102826-40,"Novandino Lithium",1.2,0,"Promotes their own interests or the collective interests of their members",CHILE,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/novandino-lithium?rid=1950274102826-40
195253249430-67,"Global Antimicrobial Resistance Research and Development Hub",0.3,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/global-antimicrobial-resistance-research-and-development-hub?rid=195253249430-67
195630425544-19,"Federazione italiana per l'uso razionale dell'energia",0.2,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/federazione-italiana-per-luso-razionale-dellenergia?rid=195630425544-19
195644299833-80,"Megamartix  ltd",1,0,"Promotes their own interests or the collective interests of their members","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/megamartix--ltd?rid=195644299833-80
195685246672-65,"National Convention on the European Union",0.5,0,"Does not represent commercial interests",SERBIA,SERBIA,,,1,https://www.lobbyfacts.eu/datacard/national-convention-on-the-european-union?rid=195685246672-65
195856043027-56,"European Roma Institute for Arts and Culture",1.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/european-roma-institute-for-arts-and-culture?rid=195856043027-56
195951997128-65,"Udruženje građana i građanki ""Zašto ne?""",1.85,0,"Does not represent commercial interests",BOSNIA-HERZEGOVINA,BOSNIA-HERZEGOVINA,,,1,https://www.lobbyfacts.eu/datacard/udruženje-građana-i-građanki-zašto-ne?rid=195951997128-65
196421729923-74,"Butterfly Conservation",0.1,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/butterfly-conservation?rid=196421729923-74
197007994063-31,"SMA Europe e.V.",0.75,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/sma-europe-ev?rid=197007994063-31
1971398102452-35,ALT-TEXT,0.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/alt-text?rid=1971398102452-35
197160137253-60,"Food Transition Coalition of The Netherlands",0.3,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/food-transition-coalition-of-the-netherlands?rid=197160137253-60
197211495930-33,"Fundația Tineri pentru Tineri",0.1,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/fundația-tineri-pentru-tineri?rid=197211495930-33
1972987100427-78,"Canadian Council on Animal Care",0.1,0,"Does not represent commercial interests",CANADA,CANADA,,,,https://www.lobbyfacts.eu/datacard/canadian-council-on-animal-care?rid=1972987100427-78
19736167705-91,"Deutsche Unternehmensinitiative Energieeffizienz e.V.",0.45,0,"Does not represent commercial interests",GERMANY,GERMANY,,3,7,https://www.lobbyfacts.eu/datacard/deutsche-unternehmensinitiative-energieeffizienz-ev?rid=19736167705-91
1975122101663-73,"European House",4,0,"Does not represent commercial interests",HUNGARY,HUNGARY,,,,https://www.lobbyfacts.eu/datacard/european-house?rid=1975122101663-73
1976258103467-72,Nezavisima,0.5,0,"Does not represent commercial interests",BULGARIA,BULGARIA,,,,https://www.lobbyfacts.eu/datacard/nezavisima?rid=1976258103467-72
1976705100851-59,"Freiwillige Selbstkontrolle Unterhaltungssoftware GmbH",0.2,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/freiwillige-selbstkontrolle-unterhaltungssoftware-gmbh?rid=1976705100851-59
198063521842-62,"European Network Against Arms Trade",0.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,1,1,https://www.lobbyfacts.eu/datacard/european-network-against-arms-trade?rid=198063521842-62
1981645101404-22,"Centrum Kinderhandel en Mensenhandel",7,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/centrum-kinderhandel-en-mensenhandel?rid=1981645101404-22
198220691711-29,"Michael Succow Stiftung",0.6,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/michael-succow-stiftung?rid=198220691711-29
1983493100742-30,"Stichting Avans",0.5,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,,https://www.lobbyfacts.eu/datacard/stichting-avans?rid=1983493100742-30
198417852989-45,"Brainport Development NV",0.2,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,2,https://www.lobbyfacts.eu/datacard/brainport-development-nv?rid=198417852989-45
198487236684-97,"Vereniging Belangenbehartiging Nederlands Gepensioneerden in het Buitenland",0.1,0,"Does not represent commercial interests",NETHERLANDS,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/vereniging-belangenbehartiging-nederlands-gepensioneerden-in-het-buitenland?rid=198487236684-97
198653998023-82,"Women Entrepreneurship Platform",2.75,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/women-entrepreneurship-platform?rid=198653998023-82
1987395101071-02,"Asociația Obștească  ,,AZI''",0.75,0,"Does not represent commercial interests","MOLDOVA, REPUBLIC OF","MOLDOVA, REPUBLIC OF",,,,https://www.lobbyfacts.eu/datacard/asociația-obștească--azi?rid=1987395101071-02
199090913475-87,"European Association of Tax Law Professors",1.25,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,3,https://www.lobbyfacts.eu/datacard/european-association-of-tax-law-professors?rid=199090913475-87
199553993584-45,"Internews Ukraine",2.5,0,"Does not represent commercial interests",UKRAINE,UKRAINE,,,,https://www.lobbyfacts.eu/datacard/internews-ukraine?rid=199553993584-45
199622611256-70,"Martin-Luther-Universität Halle-Wittenberg",0.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/martin-luther-universität-halle-wittenberg?rid=199622611256-70
199639751405-33,"Asociația Centrul pentru Inovare Publică",0.1,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/asociația-centrul-pentru-inovare-publică?rid=199639751405-33
200145833328-59,"Center for Reproductive Rights, Inc.",1.45,0,"Does not represent commercial interests","UNITED STATES",SWITZERLAND,2,13,7,https://www.lobbyfacts.eu/datacard/center-for-reproductive-rights-inc?rid=200145833328-59
200768837260-80,"ROMA ENTREPRENEURSHIP DEVELOPMENT",6.5,0,"Does not represent commercial interests",ROMANIA,ROMANIA,2,17,4,https://www.lobbyfacts.eu/datacard/roma-entrepreneurship-development?rid=200768837260-80
200781944024-83,"Berghof Foundation Operations gGmbH",0.5,0,"Does not represent commercial interests",GERMANY,GERMANY,,,11,https://www.lobbyfacts.eu/datacard/berghof-foundation-operations-ggmbh?rid=200781944024-83
201225434500-05,"ORGANIZACIÓN LATINOAMERICANA DE ALCALDES",0.2,0,"Does not represent commercial interests",SPAIN,SPAIN,,1,,https://www.lobbyfacts.eu/datacard/organización-latinoamericana-de-alcaldes?rid=201225434500-05
201346496007-88,"Afghanistan Analysts Network",0.1,0,"Does not represent commercial interests",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/afghanistan-analysts-network?rid=201346496007-88
201389895642-11,"Equinox Initiative for Racial Justice",4.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/equinox-initiative-for-racial-justice?rid=201389895642-11
201523291799-32,"Institute for Strategic Dialogue gGmbH",1,0,"Does not represent commercial interests",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/institute-for-strategic-dialogue-ggmbh?rid=201523291799-32
201551294814-62,"Forum der Joodse Organisaties",1.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,1,,https://www.lobbyfacts.eu/datacard/forum-der-joodse-organisaties?rid=201551294814-62
201585250780-07,"International Association for Democracy",1,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/international-association-for-democracy?rid=201585250780-07
2017465101141-21,"Global Alliance for Maternal Mental Health",0.1,0,"Does not represent commercial interests","UNITED KINGDOM","UNITED KINGDOM",,,,https://www.lobbyfacts.eu/datacard/global-alliance-for-maternal-mental-health?rid=2017465101141-21
202071150664-41,"OIDEC ITALIA ODV ETS",1.25,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/oidec-italia-odv-ets?rid=202071150664-41
202232197146-45,"EUSKAMPUS FUNDAZIOA",4,0,"Does not represent commercial interests",SPAIN,SPAIN,,,,https://www.lobbyfacts.eu/datacard/euskampus-fundazioa?rid=202232197146-45
202372595521-14,"EGYPTIAN FRONT Z.S",0.85,0,"Does not represent commercial interests","CZECH REPUBLIC",BELGIUM,1,2,,https://www.lobbyfacts.eu/datacard/egyptian-front-zs?rid=202372595521-14
202382032206-34,HumanRights360,0.1,0,"Does not represent commercial interests",GREECE,GREECE,,,,https://www.lobbyfacts.eu/datacard/humanrights360?rid=202382032206-34
202543297824-73,"Fondazione CMCC - Centro Euro-Mediterraneo sui Cambiamenti Climatici",1.25,0,"Does not represent commercial interests",ITALY,ITALY,,,4,https://www.lobbyfacts.eu/datacard/fondazione-cmcc---centro-euro-mediterraneo-sui-cambiamenti-climatici?rid=202543297824-73
202559641794-09,"Leuphana Universität Lüneburg",0.25,0,"Does not represent commercial interests",GERMANY,GERMANY,,,2,https://www.lobbyfacts.eu/datacard/leuphana-universität-lüneburg?rid=202559641794-09
2026798100206-68,"FÉDÉRATION ÉTUDIANTE FRANCOPHONE",0.2,0,"Does not represent commercial interests",BELGIUM,BELGIUM,2,2,,https://www.lobbyfacts.eu/datacard/fédération-étudiante-francophone?rid=2026798100206-68
202778396806-62,"Med Sea Alliance",0.55,0,"Does not represent commercial interests",SPAIN,SPAIN,1,1,4,https://www.lobbyfacts.eu/datacard/med-sea-alliance?rid=202778396806-62
202942396294-69,"Ethical Farming Ireland",1.75,0,"Does not represent commercial interests",IRELAND,IRELAND,,,1,https://www.lobbyfacts.eu/datacard/ethical-farming-ireland?rid=202942396294-69
202944149777-61,"POLLINIS FRANCE",0.75,0,"Does not represent commercial interests",FRANCE,FRANCE,1,1,,https://www.lobbyfacts.eu/datacard/pollinis-france?rid=202944149777-61
202954923396-42,"Deutsche Aidshilfe",2.45,0,"Does not represent commercial interests",GERMANY,GERMANY,,,1,https://www.lobbyfacts.eu/datacard/deutsche-aidshilfe?rid=202954923396-42
202973814485-15,"Child Circle",0.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,1,https://www.lobbyfacts.eu/datacard/child-circle?rid=202973814485-15
203037843821-50,"Dzīvnieku brīvība",0.2,0,"Does not represent commercial interests",LATVIA,LATVIA,,,,https://www.lobbyfacts.eu/datacard/dzīvnieku-brīvība?rid=203037843821-50
203214933514-17,"Hogeschool Gent",1.5,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/hogeschool-gent?rid=203214933514-17
203309329698-12,"Foreningen af miljø-, plan- og naturmedarbejdere i det offentlige",0.1,0,"Does not represent commercial interests",DENMARK,DENMARK,,,,https://www.lobbyfacts.eu/datacard/foreningen-af-miljø--plan--og-naturmedarbejdere-i-det-offentlige?rid=203309329698-12
2033375100382-86,"Jorgo Riss",0.25,0,"Advances interests of their clients",BELGIUM,BELGIUM,1,1,,https://www.lobbyfacts.eu/datacard/jorgo-riss?rid=2033375100382-86
203401420540-78,Energinet,3,0,"Does not represent commercial interests",DENMARK,DENMARK,,6,12,https://www.lobbyfacts.eu/datacard/energinet?rid=203401420540-78
203577834746-15,"Etablissement Autonome de Contrôle et de Coordination des Exportations",1,0,"Does not represent commercial interests",MOROCCO,BELGIUM,,4,1,https://www.lobbyfacts.eu/datacard/etablissement-autonome-de-contrôle-et-de-coordination-des-exportations?rid=203577834746-15
203835118406-89,"Stichting Rewilding Europe",0.3,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,1,https://www.lobbyfacts.eu/datacard/stichting-rewilding-europe?rid=203835118406-89
203875243909-78,"Fundación Maldita.es contra la desinformación: periodismo, educación investigación y datos en nuevos formatos",3.25,0,"Does not represent commercial interests",SPAIN,SPAIN,,3,4,https://www.lobbyfacts.eu/datacard/fundación-malditaes-contra-la-desinformación-periodismo-educación-investigación-y-datos-en-nuevos-formatos?rid=203875243909-78
20396927547-17,"Verkehrsclub Deutschland e.V.",0.3,0,"Does not represent commercial interests",GERMANY,GERMANY,,,,https://www.lobbyfacts.eu/datacard/verkehrsclub-deutschland-ev?rid=20396927547-17
204139597844-64,"Tomáš Prošek",0.1,0,"Does not represent commercial interests","CZECH REPUBLIC","CZECH REPUBLIC",,,,https://www.lobbyfacts.eu/datacard/tomáš-prošek?rid=204139597844-64
204320841733-78,Beoir,0.25,0,"Does not represent commercial interests",IRELAND,IRELAND,,,,https://www.lobbyfacts.eu/datacard/beoir?rid=204320841733-78
204396599680-97,"ALVEARE FINANZIARIO",1.25,0,"Does not represent commercial interests",ITALY,ITALY,,,,https://www.lobbyfacts.eu/datacard/alveare-finanziario?rid=204396599680-97
2050167103152-33,"Brussels Academy - Making City Together",2.25,0,"Does not represent commercial interests",BELGIUM,BELGIUM,,,,https://www.lobbyfacts.eu/datacard/brussels-academy---making-city-together?rid=2050167103152-33
205170133342-09,"Confederation of Laboratories for Artificial Intelligence Research in Europe AISBL",1,0,"Does not represent commercial interests",NETHERLANDS,NETHERLANDS,,,2,https://www.lobbyfacts.eu/datacard/confederation-of-laboratories-for-artificial-intelligence-research-in-europe-aisbl?rid=205170133342-09
205173621277-10,"Sihtasutus Eestimaa Looduse Fond",1.5,0,"Does not represent commercial interests",ESTONIA,ESTONIA,,,7,https://www.lobbyfacts.eu/datacard/sihtasutus-eestimaa-looduse-fond?rid=205173621277-10
205221999816-60,"FEDERATIA PROTECT",1,0,"Does not represent commercial interests",ROMANIA,ROMANIA,,,,https://www.lobbyfacts.eu/datacard/federatia-protect?rid=205221999816-60
2054791101336-40,"International Astronomical Union",0.2,0,"Does not represent commercial interests",FRANCE,FRANCE,,,,https://www.lobbyfacts.eu/datacard/international-astronomical-union?rid=2054791101336-40
